# TLA English overlay identities derived from the ROM location-name resolver, not source filenames.
# Scene records: 080f17a8 holds 8-byte {u16 overlay, u8 area, u8 variant, u16 map_index, u16 mode}; every overlay a field scene loads is listed except the title, staff credits, epilogue and face-test scenes, whose maps are shared.
# Name rules: resolver 080ca280 scans 080ef4a4 in order. Bit 15 of the selector matches the scene instead of the area; its low 15 bits select an entry or 0x7fff as a wildcard.
# The matched result plus 0xe58 is the English location name; the Japanese catalog starts its names at 0xe5a and each scene's debug label at 0xebc plus the scene index. Message IDs refer to TEXT/MESSAGE_ARCHIVE.JSON.
# resource_652 shows North Osenia Islet only for scene 11 entry 7; every other Daila entry resolves to Daila.
# English display names identify places; atlas destinations are romaji of the Japanese place names plus one area word, as in The Broken Seal: デリィ村 (0xe62) is DERI_MURA.
# The debug labels choose among a place's area words (ROOM rooms as HEYA, the sanctum as SHINDEN) but never name a folder. Modules serving several places live in SRC/FIELD/COMMON.
resource_id	locations	role	scene_ids	name_message_ids	evidence	atlas_destination
resource_663	Air's Rock	area	82,83,84	0x0e6f	080f17a8;080ef4a4;080ca280	SRC/FIELD/EAZU_ROKKU
resource_664	Air's Rock	area	85,86,87,88,89,90,91,92,93,94	0x0e6f	080f17a8;080ef4a4;080ca280	SRC/FIELD/EAZU_NAIBU
resource_665	Alhafra	area	95	0x0e70	080f17a8;080ef4a4;080ca280	SRC/FIELD/ARAFURA_MACHI
resource_666	Alhafra	area	96	0x0e70	080f17a8;080ef4a4;080ca280	SRC/FIELD/ARAFURA_HEYA
resource_667	Alhafra	area	97	0x0e70	080f17a8;080ef4a4;080ca280	SRC/FIELD/ARAFURA_HEYA
resource_668	Eastern Alhafra	area	98	0x0e71	080f17a8;080ef4a4;080ca280	SRC/FIELD/ARAFURA_MINATO
resource_669	Eastern Alhafra	area	99	0x0e71	080f17a8;080ef4a4;080ca280	SRC/FIELD/ARAFURA_FUNE
resource_66a	Alhafran Cave	area	100,101	0x0e72	080f17a8;080ef4a4;080ca280	SRC/FIELD/ARAFURA_DOU
resource_66b	Gondowan Cliffs	area	102,103	0x0e73	080f17a8;080ef4a4;080ca280	SRC/FIELD/GONDOWANA_GAKE
resource_66c	Gondowan Cliffs	area	104	0x0e73	080f17a8;080ef4a4;080ca280	SRC/FIELD/GONDOWANA_DOU
resource_66d	Naribwe	area	105	0x0e74	080f17a8;080ef4a4;080ca280	SRC/FIELD/NIRI_MURA
resource_66e	Naribwe	area	106	0x0e74	080f17a8;080ef4a4;080ca280	SRC/FIELD/NIRI_HEYA
resource_66f	Kibombo Mountains	area	107,108,109	0x0e75	080f17a8;080ef4a4;080ca280	SRC/FIELD/MINGU_SANMYAKU
resource_670	Kibombo; Gabomba Statue	area	110,111,112,113,114,125	0x0e76,0x0e77	080f17a8;080ef4a4;080ca280	SRC/FIELD/KIBONBO_MURA
resource_671	Gabomba Statue	area	115,116,117,118,119,121,123	0x0e77	080f17a8;080ef4a4;080ca280	SRC/FIELD/GANBOMA_NAIBU
resource_672	Gabomba Statue	area	120,122,124	0x0e77	080f17a8;080ef4a4;080ca280	SRC/FIELD/GANBOMA_NAIBU
resource_673	Gabomba Catacombs	area	126,127,128,129,130	0x0e78	080f17a8;080ef4a4;080ca280	SRC/FIELD/GANBOMA_DOU
resource_674	West Indra Islet; E Tundaria Islet; N Osenia Islet; SE Angara Islet; Sea of Time Islet	area	131,132,133,134,135	0x0e7b,0x0e7c,0x0e7d,0x0e7e,0x0e7f	080f17a8;080ef4a4;080ca280	SRC/FIELD/COMMON/KOJIMA
resource_675	Islet Cave	area	136,137,138	0x0ea5	080f17a8;080ef4a4;080ca280	SRC/FIELD/KOJIMA_DOU
resource_676	Yallam	area	139,140	0x0e80	080f17a8;080ef4a4;080ca280	SRC/FIELD/YARAMU_MURA
resource_677	Yallam	area	141,142	0x0e80	080f17a8;080ef4a4;080ca280	SRC/FIELD/YARAMU_HEYA
resource_678	Taopo Swamp	area	143,144,145,146,147,148,149,150,151,152,153	0x0e81	080f17a8;080ef4a4;080ca280	SRC/FIELD/TAUPO_NUMA
resource_679	Apojii Islands; E Sea of Time Islet	area	154,155,156	0x0e83,0x0e82	080f17a8;080ef4a4;080ca280	SRC/FIELD/GARAPASU_SHIMA
resource_67a	Apojii Islands Cave	area	157	0x0e84	080f17a8;080ef4a4;080ca280	SRC/FIELD/GARAPASU_DOU
resource_67b	Aqua Rock	area	158,159	0x0e86	080f17a8;080ef4a4;080ca280	SRC/FIELD/AKUA_ROKKU
resource_67c	Aqua Rock	area	160,161,162,163,164,165,166,167,168,169	0x0e86	080f17a8;080ef4a4;080ca280	SRC/FIELD/AKUA_NAIBU
resource_67d	Izumo	area	170	0x0e87	080f17a8;080ef4a4;080ca280	SRC/FIELD/IZUMO_HEYA
resource_67e	Izumo	area	171	0x0e87	080f17a8;080ef4a4;080ca280	SRC/FIELD/IZUMO_MURA
resource_67f	Izumo Ruins	area	172,173	0x0e88	080f17a8;080ef4a4;080ca280	SRC/FIELD/IZUMO_ISEKI
resource_680	Gaia Rock	area	174,175,176	0x0e85	080f17a8;080ef4a4;080ca280	SRC/FIELD/GAIA_ROKKU
resource_681	Gaia Rock	area	177,178,179,180,181	0x0e85	080f17a8;080ef4a4;080ca280	SRC/FIELD/GAIA_NAIBU
resource_682	Champa	area	182	0x0e8b	080f17a8;080ef4a4;080ca280	SRC/FIELD/CHANPA_MURA
resource_683	SE Angara Islet; West Indra Islet; Champa	area	183	0x0e89,0x0e8a,0x0e8b	080f17a8;080ef4a4;080ca280	SRC/FIELD/CHANPA_HEYA
resource_684	Champa	area	184	0x0e8b	080f17a8;080ef4a4;080ca280	SRC/FIELD/CHANPA_SHINDEN
resource_685	Champa	area	185,186,187,188	0x0e8b	080f17a8;080ef4a4;080ca280	SRC/FIELD/CHANPA_HEYA
resource_686	Ankohl Ruins	area	189,190,191,192,193,194,195,196	0x0e8d	080f17a8;080ef4a4;080ca280	SRC/FIELD/ANKORU_ISEKI
resource_687	Sea of Time	area	197,198	0x0e8c	080f17a8;080ef4a4;080ca280	SRC/FIELD/MANO_UMI
resource_688	Lemuria	area	199	0x0e8f	080f17a8;080ef4a4;080ca280	SRC/FIELD/REMURIA_SUIRO
resource_689	Lemuria	area	200	0x0e8f	080f17a8;080ef4a4;080ca280	SRC/FIELD/REMURIA_MINATO
resource_68a	Ancient Lemuria; Lemuria	area	201	0x0e8e,0x0e8f	080f17a8;080ef4a4;080ca280	SRC/FIELD/REMURIA_KODAI
resource_68b	Lemuria	area	202	0x0e8f	080f17a8;080ef4a4;080ca280	SRC/FIELD/REMURIA_MACHI
resource_68c	Lemuria	area	203	0x0e8f	080f17a8;080ef4a4;080ca280	SRC/FIELD/REMURIA_HEYA
resource_68d	Lemuria	area	204	0x0e8f	080f17a8;080ef4a4;080ca280	SRC/FIELD/REMURIA_JO
resource_68e	Lemuria	area	205	0x0e8f	080f17a8;080ef4a4;080ca280	SRC/FIELD/REMURIA_IZUMI
resource_68f	Tundaria Tower	area	206,207,208,209,210,211,212	0x0e90	080f17a8;080ef4a4;080ca280	SRC/FIELD/SAUSUAIRANDO_TO
resource_690	Gondowan Settlement; Hesperia Settlement; Kalt Island; SW Atteka Islet	area	213,214,215,216,217,218,219,220,221,222	0x0e92,0x0e93,0x0e94,0x0e91	080f17a8;080ef4a4;080ca280	SRC/FIELD/COMMON/KOYA
resource_691	Magma Rock	area	223,224,225	0x0e95	080f17a8;080ef4a4;080ca280	SRC/FIELD/MAGUMA_ROKKU
resource_692	Magma Rock	area	226,227,228,229,230,231,232,233	0x0e95	080f17a8;080ef4a4;080ca280	SRC/FIELD/MAGUMA_NAIBU
resource_693	Atteka Inlet	area	234,235	0x0e96	080f17a8;080ef4a4;080ca280	SRC/FIELD/ATEKA_IRIE
resource_694	Contigo; Atteka Inlet; Anemos Sanctum	area	236,237,238,239	0x0e9b,0x0e9a,0x0e9c	080f17a8;080ef4a4;080ca280	SRC/FIELD/GIANA_MURA
resource_695	Shaman Village Cave	area	240	0x0e97	080f17a8;080ef4a4;080ca280	SRC/FIELD/SHAMAN_DOU
resource_696	Shaman Village	area	241,242,243,244,245,246	0x0e98	080f17a8;080ef4a4;080ca280	SRC/FIELD/SHAMAN_MURA
resource_697	Trial Road	area	247,248,249,250	0x0e99	080f17a8;080ef4a4;080ca280	SRC/FIELD/TORAIARU_RODO
resource_698	Jupiter Lighthouse	area	251	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_IRIGUCHI
resource_699	Jupiter Lighthouse	area	252,253	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_69a	Jupiter Lighthouse	area	254	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_69b	Jupiter Lighthouse	area	255	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_69c	Jupiter Lighthouse	area	256	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_69d	Jupiter Lighthouse	area	257	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_69e	Jupiter Lighthouse	area	258	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_69f	Jupiter Lighthouse	area	259	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_6a0	Jupiter Lighthouse	area	260	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_6a1	Jupiter Lighthouse	area	261	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_6a2	Jupiter Lighthouse	area	262	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_6a3	Jupiter Lighthouse	area	263	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_HEYA
resource_6a4	Jupiter Lighthouse	area	264	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_CHOJO
resource_6a5	Jupiter Lighthouse	area	265	0x0e9d	080f17a8;080ef4a4;080ca280	SRC/FIELD/JUPITA_CHOJO
resource_6a6	Loho	area	266,267	0x0e9e	080f17a8;080ef4a4;080ca280	SRC/FIELD/ROHHO_MURA
resource_6a7	Northern Reaches	area	268	0x0e9f	080f17a8;080ef4a4;080ca280	SRC/FIELD/UESUTO_KAIIKI
resource_6a8	Prox	area	269,270,271,272,273,274	0x0ea0	080f17a8;080ef4a4;080ca280	SRC/FIELD/PUROKUSU_MURA
resource_6a9	Indra Cavern; Osenia Cavern; Atteka Cavern; Angara Cavern	area	275,276,277,278	0x0ea1,0x0ea2,0x0ea4,0x0ea3	080f17a8;080ef4a4;080ca280	SRC/FIELD/COMMON/DOKETSU
resource_6aa	Mars Lighthouse	area	279,280,281,282,283,284,285	0x0ea6	080f17a8;080ef4a4;080ca280	SRC/FIELD/MAZU_IRIGUCHI
resource_6ab	Mars Lighthouse	area	286	0x0ea6	080f17a8;080ef4a4;080ca280	SRC/FIELD/MAZU_HEYA
resource_6ac	Mars Lighthouse	area	287,288,289,290,291,296	0x0ea6	080f17a8;080ef4a4;080ca280	SRC/FIELD/MAZU_HEYA
resource_6ad	Mars Lighthouse	area	292,293,294,295	0x0ea6	080f17a8;080ef4a4;080ca280	SRC/FIELD/MAZU_HEYA
resource_6ae	Mars Lighthouse	area	297	0x0ea6	080f17a8;080ef4a4;080ca280	SRC/FIELD/MAZU_CHOJO
resource_6af	Treasure Isle	area	298,299,300,301,302	0x0ea7	080f17a8;080ef4a4;080ca280	SRC/FIELD/TAKARA_SHIMA
resource_6b0	Anemos Inner Sanctum	area	303,304,305,306,307	0x0ea8	080f17a8;080ef4a4;080ca280	SRC/FIELD/ANEMOSU_NAIBU
resource_6b1	Anemos Inner Sanctum	area	308	0x0ea8	080f17a8;080ef4a4;080ca280	SRC/FIELD/ANEMOSU_NAIBU
resource_6b2	Mercury Lighthouse	area	309	0x0ea9	080f17a8;080ef4a4;080ca280	SRC/FIELD/MAKYURI_HEYA
resource_6b4	Mt. Aleph Summit	area	311	0x0eab	080f17a8;080ef4a4;080ca280	SRC/FIELD/ARUFA_CHOJO
resource_6b5	Link Lobby	link_lobby	312	0x0eac	080f17a8;080ef4a4;080ca280	SRC/MENU/LINK_LOBBY
resource_6b6	Test 0; Test 1; Test 2; Test 3; Test 4; Test 5; Test 6; Test 7	test_maps	313,314,315,316,317,318,319,320	0x0ead,0x0eae,0x0eaf,0x0eb0,0x0eb1,0x0eb2,0x0eb3,0x0eb4	080f17a8;080ef4a4;080ca280	SRC/DEBUG/TEST_ROOMS
resource_6b8	Psynergy Test	debug_psynergy	322	0x0eb7	080f17a8;080ef4a4;080ca280	SRC/DEBUG/ENAJI_TEST
resource_6b9	Psynergy Test 2	debug_psynergy	323	0x0eb8	080f17a8;080ef4a4;080ca280	SRC/DEBUG/ENAJI_TEST
resource_6ba	Shop Test	debug_shop	324	0x0eb9	080f17a8;080ef4a4;080ca280	SRC/DEBUG/SHOPPU_TEST
